Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0,128216,2.868032985495919,0.73516107
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0338826836954247,135292,1.335,0.7600703
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0410856766395424,135293,3.52,0.76536566
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0434173289399016,135634,3.535,0.7670798
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0722763108226065,139774,2.53,0.7882958
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0874961727774841,142250,2.51,0.79948485
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1036809933366032,144209,3.685,0.8113833
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1164447268678142,135195,6.1547273053080005,0.8207667
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1202105682772348,138089,5.261911792001471,0.8235352
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1223356808052962,146867,1.475,0.8250975
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1255602802798033,144347,3.4499315580091703,0.8274681
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1450667538747665,149025,3.2310197982922664,0.8418085
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1512820312968968,149953,3.2059063354188955,0.84637773
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1566531399710813,140230,6.231347298628257,0.85032636
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1750269910238855,153762,1.24,0.8638341
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.179541783952189,153921,4.0,0.8671532
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1853607808694222,154877,2.645,0.8714311
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.1857940736715016,155171,1.595,0.87174964
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.198855918744446,154398,3.0174780809949318,0.8813522
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.2138368942740672,158470,4.10592225225638,0.89236563
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.2259253200118445,159843,3.389846673469844,0.90125257
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.240707019483499,162054,4.09,0.9121195
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.2455121433456753,162062,4.270221756406499,0.91565204
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.2614144951935498,165067,3.22,0.92734283
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.267262424545957,165821,2.773851613016412,0.931642
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.2768154739205655,157799,5.802905533822138,0.93866503
