Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.7536735,133798,1.865,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.7767615,138263,0.565,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.7908037,140763,2.225,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.79157186,140891,2.435,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.80964845,144101,1.48,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.8102495,142917,3.3931576303632256,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.81098336,140924,4.043172825479295,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.8140292,142382,3.908056446048495,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.8244926,146759,1.54,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.83315027,148300,2.485,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.84576195,150545,0.665,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.8548558,151597,2.2390188137307887,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.87096715,155032,1.84,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.8792343,156503,2.025,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.88104075,156825,0.47,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.89901733,160025,1.755,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9025446,160652,1.915,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.905224,161129,2.955,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9074175,161520,0.79,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.92312026,164315,2.675,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9264795,164913,2.04,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.93047357,161797,4.621164064128033,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9315016,163792,4.150116558769769,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9344608,164970,3.9679780811689396,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9381478,166990,2.911688435787815,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9403398,163435,4.7410835435591165,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9428254,167822,2.205,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.94795424,168735,3.0347523092595448,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9488957,168903,2.138616968072031,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9502203,169024,3.3577133979246314,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.95197105,168077,3.9925865078554894,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.95726794,170393,2.1902158537103484,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.96757627,172228,2.1980090211408974,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.97061735,172769,2.428125356047826,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9735996,173300,2.3465279663532588,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9741733,173402,2.2594513886711556,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.97670156,173852,2.9434864455326792,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9789066,174245,2.098760491671153,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9794295,174338,3.0780588160940034,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.97955924,174361,2.351826585075924,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9833324,175033,1.6434411030279898,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9861567,175509,3.125073063749478,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9869562,175678,2.6918966097373467,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.987529,175780,2.140768256646069,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9929826,176750,1.752462807524863,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,FUTURESIGHT,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.993302,176807,1.201601491799834,
PIDGEOT_MEGA,GUST_FAST,RETURN,40,15/15/15,HITMONTOP,RANDOM,RANDOM,0.9985937,177749,3.3197800224420373,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0067905,173958,5.206934590782123,
HO_OH_SHADOW_FORM,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.008822,179570,1.9619324440141677,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0133812,180381,2.5391239645580055,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,RETURN,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0164132,180891,2.482298507785191,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0198658,181536,1.2315694035865798,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0205255,181653,0.9022144897245924,
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0219188,181718,3.9831605436646256,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FIRE_BLAST,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0294044,183214,2.712113843999212,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0304562,183421,2.3387959395939935,
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.03299,183872,2.7083886497587275,
TOGEKISS,CHARM_FAST,DAZZLING_GLEAM,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0333525,183936,2.1789176302977578,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.034966,184065,2.9476467446166987,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0452411,186052,2.6857803788125687,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0460725,186200,2.658571559314223,
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0474184,186440,2.4939519365242266,
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0474184,186440,2.4939519365242266,
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0474184,186440,2.4939519365242266,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0476578,186483,2.4373261616297306,
TORNADUS_THERIAN_FORM,GUST_FAST,PSYCHIC,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0497632,186857,2.920651308701776,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0531206,187455,2.2468382544290186,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,RETURN,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0542133,187650,2.6640249014100483,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0618579,189010,2.6099894008158957,
TOGEKISS,AIR_SLASH_FAST,DAZZLING_GLEAM,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.0642966,189444,2.3246154118208024,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,HITMONTOP,RANDOM,RANDOM,1.067753,190059,2.801515516037392,
