Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.0,111247,2.8363395936234226,0.6346614
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.0563024630141362,117691,2.99,0.6703944
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.0938820290630562,123157,2.175,0.6942447
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1017356656636121,122360,3.105,0.6992291
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.108394413146916,120265,4.47700893294579,0.70345515
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1269968521797606,119931,5.178583815124705,0.7152614
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1270720733922057,125127,3.189025049735918,0.71530914
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.130610432586573,125182,3.16,0.7175548
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1447746782772672,122085,5.256473086263735,0.7265443
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1468712765578621,126281,3.625779266665957,0.72787493
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.171938454111121,131916,2.385,0.7437841
HO_OH_SHADOW_FORM,HIDDEN_POWER_BUG_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.171938454111121,131916,2.385,0.7437841
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1772197584412727,129649,3.7054571744813747,0.74713594
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1779062032132408,131756,2.8936278601391296,0.7475716
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1821711545715556,125577,5.537847578349816,0.7502784
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1887883838531854,132152,3.4028163069041297,0.7544781
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.1968868754268023,135212,1.905,0.7596179
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2406545285407304,139252,2.587937709486511,0.78739554
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2451582844017297,132957,5.665880540930291,0.7902539
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2529930763080912,135811,5.224476312334457,0.79522634
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2537816227676677,139170,3.625959424581764,0.7957268
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2628292818816458,139251,3.3991118351242777,0.801469
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2707964750967995,143127,2.626839735068081,0.80652547
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2734506935509233,138230,5.173113755317348,0.80821
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.276075242641194,141996,3.687341660270277,0.8098757
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2765876418512296,143712,2.94,0.8102009
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2797276626560241,142679,3.6365257683373784,0.81219375
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2945073546303587,146158,2.215,0.82157385
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.2973073516051234,146556,1.735,0.8233509
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.298291655991683,141310,5.220669844191281,0.8239756
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3022326550819066,146541,2.740612244897959,0.8264768
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3078421028913998,144406,3.472798969819843,0.8300369
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3152651161706068,148585,2.2,0.834748
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3188879928730501,146169,3.8153413730223575,0.8370473
PIDGEOT_MEGA,GUST_FAST,AIR_CUTTER,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3269800243090253,147784,3.8213547051389356,0.842183
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.329467807558487,146412,4.717554915983078,0.8437619
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3296823471539312,148140,4.018324689477237,0.84389806
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3331360627887563,148861,3.820777756393535,0.84609
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3348578470346548,146874,3.9712550931095087,0.84718275
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3390930975162503,145713,5.4278784913761715,0.8498707
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3514349068652984,151180,3.2061196437256188,0.85770357
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.357910690645437,151397,3.6707473436900706,0.8618135
HO_OH,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3637971365518684,154012,2.365,0.8655494
HO_OH,HIDDEN_POWER_BUG_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3637971365518684,154012,2.365,0.8655494
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.366758715749847,150964,4.711683133279096,0.867429
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3732256759273527,154274,2.9016471523729956,0.87153333
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,LUDICOLO,RANDOM,RANDOM,1.3736461678621072,155180,2.32,0.8718002
