Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.0,104773,1.6506209242982706,0.5932211
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.0707191635631303,113060,0.665,0.6351732
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.0722957426834616,112150,2.63,0.63610846
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.0739966093586355,113187,2.26,0.63711745
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.0932701146334816,115073,1.43,0.6485509
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1065857738371074,116697,1.5,0.65645003
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1104979239612347,114163,3.3806922834971913,0.6587708
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1181915140914578,111812,4.034253895943868,0.6633348
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1409863877060342,120436,1.655,0.6768572
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1466540890066117,120514,2.67,0.6802194
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1639749496435647,121469,2.2615671082932325,0.6904945
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1665516280523403,116445,4.286638620216105,0.69202304
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.174445076211888,123654,2.045,0.6967056
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1756706563539296,124143,0.8,0.69743264
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.185039945477327,125132,0.57,0.7029907
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.1963380938405597,125922,1.665,0.709693
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2007538167472467,125980,1.799134007585335,0.7123125
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2215103272624661,127781,3.02,0.7246257
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2365420919788592,130570,0.945,0.73354286
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2391715331770903,130692,2.185,0.7351027
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.264698861857746,133481,2.72,0.75024605
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.26737568842376,130623,3.93394769449504,0.751834
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2680120447502627,126777,4.722447005920579,0.7522115
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2772225229345349,134783,2.24,0.75767535
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2843114312690498,131724,3.9560940802936226,0.76188064
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2871890430060564,135877,1.44,0.7635877
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.2932585337911953,135241,3.27,0.76718825
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.300842889775836,136654,3.0964997277180384,0.77168745
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3031191911413806,137130,1.8616622691292875,0.7730378
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.31932569492218,139256,2.57,0.78265184
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.319771498350278,139250,2.915,0.7829163
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3215256503856656,139403,1.49,0.7839569
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3217835643405134,138530,1.973427138939771,0.7841099
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3251172286353268,138716,3.3613337518155477,0.7860875
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3265926481711459,136521,4.116426075112054,0.78696275
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.330049959450195,140318,2.3930523289246692,0.7890137
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.333099244109827,140150,3.16,0.7908226
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3517138213728406,142291,3.206496062992126,0.80186516
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3527205960812927,142753,2.725,0.8024624
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.361190540929849,143732,1.745,0.80748695
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,1.3656431472177912,141561,3.866216473528695,0.81012833
