Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.5651232,98867,2.890838057810119,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6150797,109463,1.365,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6344545,107895,3.9475624949943384,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.63587636,111534,2.6254980735656726,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.640847,112439,2.6901562904382006,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.654543,110617,3.9995209579712387,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6557778,107611,6.220228854187748,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6560379,114823,3.40604177139017,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6580366,114935,3.339593796197357,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.66562957,110279,5.392093221550371,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.6750463,120116,1.5,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MACHAMP,RANDOM,RANDOM,0.68108785,119110,3.5005358671233613,
