Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.0,80399,1.325,0.45167994
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.07308861225938,85294,1.93,0.4846926
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.0904179627724888,87668,1.01,0.49251992
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.105817473319714,88906,0.18,0.49947557
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.114317363750978,89590,0.185,0.5033148
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.119017816022558,89967,1.0,0.5054379
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1210477932670642,89238,2.045,0.5063548
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.13150054881782,88038,2.865,0.5110761
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1324498936127205,86177,3.404018950160285,0.5115049
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1380995578417763,91502,1.435,0.51405674
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1430598401159902,91900,1.43,0.5162972
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1656570358205414,92320,2.18,0.5265039
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1792476327374646,94810,0.12,0.5326425
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1806374221533946,89529,3.6671561479141572,0.53327024
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1906906912890574,95730,1.495,0.5378111
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.1948288870211947,96063,1.12,0.53968024
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2077241021595955,97099,1.29,0.54550475
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2156891448400386,96440,2.315,0.5491024
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.239088988543525,96085,3.162248024726465,0.55967164
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2391268693491235,99624,1.385,0.55968875
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2400061424025164,99695,0.365,0.5600859
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2683494423064259,95704,3.7885366842862305,0.572888
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.280782139671733,102973,1.205,0.5785036
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2909862678426676,103794,1.445,0.5831126
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2943162806831758,102858,2.455,0.5846167
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2952040774713174,102637,2.52,0.5850177
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2989332667729276,100071,3.31,0.5867021
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.2994071642854008,104471,1.54,0.58691615
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3121031011472415,105349,1.855,0.59265065
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.313770852874272,105625,1.095,0.59340394
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3162424924162008,105824,1.18,0.59452033
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3191465841941086,106058,1.08,0.59583205
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.319568343017403,104413,2.56,0.59602255
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3259763096851278,106607,1.83,0.5989169
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.327281880173824,102733,3.4721459792749125,0.5995066
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3387977779132718,105408,2.965,0.6047081
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3561250030275862,107399,2.605,0.61253446
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3571725146793103,107251,2.68,0.6130076
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3596057863450832,109310,1.205,0.61410666
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3639493044566027,108190,2.56,0.61606854
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.368256159438916,110006,0.375,0.61801386
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3726339938851393,110358,1.205,0.61999124
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3726339938851393,110358,1.205,0.61999124
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3726339938851393,110358,1.205,0.61999124
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3726339938851393,110358,1.205,0.61999124
PIDGEOT_MEGA,GUST_FAST,AIR_CUTTER,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3770130238681841,109072,2.67,0.62196916
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.380468723051991,110988,1.475,0.62353003
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.386408260681225,111465,1.72,0.6262128
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3866977355691288,111489,1.47,0.62634355
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3869478020210504,111509,1.74,0.6264565
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3877283547283503,106813,4.193720255424024,0.62680906
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3905494673949876,111798,0.31,0.6280833
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3910594745473974,111839,1.655,0.62831366
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3913627202483245,109154,3.1,0.62845063
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.3959592715142497,112233,1.125,0.6305268
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.421358384877575,114275,1.495,0.64199907
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.4438344328508368,116082,1.835,0.65215105
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.4618388188769242,117530,1.765,0.66028327
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.471629667680172,118317,1.71,0.6647056
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.4717306905416256,116528,3.245,0.66475123
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.4801892021151084,114623,3.7614248126599983,0.66857177
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.4890617015225427,119719,0.44,0.6725793
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.517755780785837,122026,0.51,0.68553984
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,1.5428742529499981,124045,1.19,0.69688535
