Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.45167994,80399,1.325,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.4846926,85294,1.93,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.49251992,87668,1.01,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.49947557,88906,0.18,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5033148,89590,0.185,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5054379,89967,1.0,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5063548,89238,2.045,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5110761,88038,2.865,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5115049,86177,3.404018950160285,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.51405674,91502,1.435,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5162972,91900,1.43,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5265039,92320,2.18,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5326425,94810,0.12,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.53327024,89529,3.6671561479141572,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5378111,95730,1.495,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.53968024,96063,1.12,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.54550475,97099,1.29,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5491024,96440,2.315,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.55967164,96085,3.162248024726465,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.55968875,99624,1.385,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5600859,99695,0.365,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.572888,95704,3.7885366842862305,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5777517,102839,1.335,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5785036,102973,1.205,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.57961696,103171,1.335,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5831126,103794,1.445,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5846167,102858,2.455,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5850177,102637,2.52,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5867021,100071,3.31,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.58691615,104471,1.54,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.5896399,104955,1.36,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.59265065,105349,1.855,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.59340394,105625,1.095,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,MACHOKE,RANDOM,RANDOM,0.59354514,105481,1.895,
