Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.0,96731,1.44,0.5436028
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.0370238159185345,100343,1.81,0.56372905
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.0641964132635078,102973,1.88,0.57850015
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.06547280477584,99936,2.74,0.579194
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.0807268652773678,104572,1.155,0.58748615
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.0935446432579081,102830,2.83,0.59445393
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1082779558898517,104500,2.8,0.602463
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1185929321924022,104656,3.015,0.60807025
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1355919064434545,109881,2.065,0.61731094
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1399656145994832,110299,1.9,0.6196885
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1428978290766714,110572,1.835,0.62128246
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1469045597263294,110945,1.785,0.62346053
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1573688730080123,109290,2.915,0.62914896
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.157994844765332,112049,1.185,0.62948924
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,1.1719569877123517,113400,1.41,0.6370791
