Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.56919837,101317,0.74,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.59854436,106466,1.635,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.60388297,107491,1.205,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6104465,108615,1.685,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6151982,109453,1.665,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6210524,110547,0.545,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6210575,110548,0.97,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.62331885,110950,1.57,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.64593554,114976,1.76,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.64793134,115331,1.24,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6499086,115683,0.83,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.651995,116055,0.995,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6616012,117765,1.055,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6783866,120752,0.585,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6793834,120930,0.635,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6902607,122866,1.41,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6927065,123301,1.77,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.7065342,125763,0.845,
