Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.5436028,96731,1.44,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.56372905,100343,1.81,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.57850015,102973,1.88,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.579194,99936,2.74,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.58748615,104572,1.155,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.59445393,102830,2.83,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.602463,104500,2.8,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.60807025,104656,3.015,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.61731094,109881,2.065,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.6196885,110299,1.9,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.62128246,110572,1.835,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM,RANDOM,RANDOM,0.62346053,110945,1.785,
