Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.63837934,113631,1.29,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.655645,116704,1.375,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.67343336,119871,1.4,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.6755224,120242,1.71,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.6769735,120501,1.305,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.68696487,122279,1.455,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.69304144,123361,1.73,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.6939187,123517,1.37,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.6986998,124368,1.605,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7115432,126654,1.44,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7116314,126670,1.185,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7194979,128070,1.42,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.72158355,128441,2.0,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.72561294,129159,1.435,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.729717,129889,1.775,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7304687,130023,1.265,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7459726,132783,2.125,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.746917,132951,1.52,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.75269186,133979,2.11,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.75405043,132154,3.48,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.75436217,134158,3.04,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.76453537,136087,1.855,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.76718366,135216,3.565,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7672416,135209,3.545,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7678936,136685,1.335,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7775671,138406,1.425,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7775671,138406,1.425,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7816091,139126,2.33,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.78720784,140123,2.3,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7899698,140614,2.125,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.79172117,140926,2.2,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.7930676,141165,2.315,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.79329956,141207,1.96,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.79696655,141860,1.475,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.79696655,141860,1.475,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8035706,141231,3.811436309627817,
HO_OH_SHADOW_FORM,INCINERATE_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.80374265,143066,1.465,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.81507605,145083,1.725,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8190814,145796,1.89,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8226948,146439,2.335,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8228958,146475,2.08,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.82346135,146576,1.75,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8270105,147207,2.53,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.83017397,147770,2.5,
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8305599,147839,1.625,
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8305599,147839,1.625,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8306171,147849,1.115,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8388622,149317,2.295,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.84624475,150589,3.5,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8469854,150763,2.385,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.84802467,150948,2.695,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8483932,151014,2.525,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.84996176,151293,1.745,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.85019183,151334,1.525,
MOLTRES,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8518265,151625,1.77,
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.85494554,152180,1.165,
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,BUG_BUZZ,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.85915285,152929,2.455,
CHARIZARD_SHADOW_FORM,EMBER_FAST,OVERHEAT,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.86212975,153459,2.445,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8662507,154192,1.235,
HO_OH,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8662507,154192,1.235,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.874121,155593,2.54,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,DRACO_METEOR,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8761766,155959,2.07,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.87699926,156105,2.54,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8862338,157749,2.535,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.88646364,157677,3.56537120359955,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,BUG_BUZZ,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8923538,158838,2.45,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8925911,158881,2.37,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.89280015,158918,1.575,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.8996267,160133,1.36,
CHARIZARD,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9040279,160916,2.155,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.90519637,161124,1.97,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.90530723,161144,3.5758679105170335,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.90531206,161145,3.215,
CHARIZARD,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9089649,161795,2.13,
MOLTRES,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.90946543,161884,1.8264663548038862,
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.91086364,162109,3.545,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,OUTRAGE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.91187394,162313,2.19,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9138203,162659,1.395,
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9138203,162659,1.395,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.91957796,163684,2.71,
HO_OH,HIDDEN_POWER_POISON_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.92005837,163770,1.405,
HO_OH,HIDDEN_POWER_ICE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.92005837,163770,1.405,
HO_OH,HIDDEN_POWER_BUG_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.92005837,163770,1.405,
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,X_SCISSOR,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9231895,164327,2.635,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9254098,164722,1.82,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.927553,165104,2.755,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9289366,165350,2.525,
PIDGEOT_MEGA,GUST_FAST,RETURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9299764,165535,2.725,
HO_OH,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.93078494,165679,1.265,
CHARIZARD,EMBER_FAST,BLAST_BURN,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9344449,166331,2.21,
MOLTRES,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9369155,166770,1.893156343183553,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.93989426,167301,2.975,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,X_SCISSOR,40,15/15/15,MEGANIUM,RANDOM,RANDOM,0.9430732,167867,2.615,
