Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0,59031,0.02,0.33163702
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0175521116430246,60067,0.015,0.33745795
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0576585509060479,62435,0.005,0.35075873
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0909262180681758,64398,0.105,0.36179152
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1041885492759524,65181,0,0.3661898
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1041885492759524,65181,0,0.3661898
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1052097862898418,65234,0.99,0.36652848
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1173183862284133,65878,1.03,0.37054414
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.145325301741042,67610,0.63,0.37983227
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1491883505647227,67838,0.17,0.3811134
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1794366925622477,69623,0.02,0.39114487
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1812052225050147,69728,0.21,0.39173138
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.191170394668243,70316,0.235,0.3950362
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2269998084049845,72431,0,0.40691856
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.233350335858162,72806,0.005,0.40902463
