Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0,55882,0.495,0.3139468
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0424427960406029,58254,0.6,0.32727158
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.0505558266559811,58707,0.155,0.32981864
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.101137039778714,61534,0.185,0.34569845
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.101137039778714,61534,0.185,0.34569845
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.115998857131208,62364,0.75,0.35036427
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1492812476508758,62355,1.77,0.36081317
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.1559123392880575,64595,0.805,0.36289498
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.167161442639326,64720,1.265,0.3664266
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.173632443458573,63417,1.875,0.36845815
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.201120253495178,67121,0.9,0.37708786
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2065405348931728,67424,0.555,0.37878954
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2085745100762293,67538,0.815,0.3794281
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.230291788290245,68751,0.12,0.38624617
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2390405635604502,69240,0.59,0.38899282
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2922507889871786,72214,0.95,0.405698
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.2953657434953947,72388,0.915,0.40667593
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.296092841207491,70166,2.03,0.4069042
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3042546061944251,72885,0.995,0.40946656
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3114215529510094,73285,0.18,0.4117166
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3114215529510094,73285,0.18,0.4117166
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3149070479457028,73480,1.005,0.41281086
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3195794956342919,73739,1.135,0.41427776
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3346591842949187,74560,1.19,0.41901198
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3518618441086194,74484,1.91,0.4244127
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.351916503050835,72714,2.085,0.42442986
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.359901868724255,75893,1.28,0.42693684
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3610308179602402,75046,1.86,0.42729127
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3625072783032028,76140,0.99,0.4277548
PIDGEOT_MEGA,GUST_FAST,AIR_CUTTER,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3702516477313988,76573,1.09,0.43018612
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3708591073392051,76607,0.975,0.43037683
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3778976246931007,77000,1.11,0.43258655
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.383229164941321,77298,1.105,0.43426037
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.3878976310636066,77559,1.23,0.43572602
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.4118130842550394,78895,1.165,0.4432342
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,PARASECT,RANDOM,RANDOM,1.425044816510313,79635,0.66,0.44738826
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.4314794735923408,79994,1.07,0.4494084
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.4320180998818908,79731,1.39,0.4495775
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.4632814222027426,81771,1.555,0.45939252
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.4635567873282986,81433,1.73,0.45947897
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.5242246775568342,84311,2.17,0.47852546
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.5620385364654137,87290,1.085,0.490397
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.5775029399885585,88154,1.135,0.495252
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6208861819900695,90579,1.065,0.50887203
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6314181256187352,91167,0.52,0.5121785
YANMEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6394630236715264,91617,1.22,0.51470417
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6472010544461673,91444,2.295,0.5171335
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,PARASECT,RANDOM,RANDOM,1.648764249229487,92137,0.98,0.51762426
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6510052021552695,92262,1.87,0.5183278
TALONFLAME,FIRE_SPIN_FAST,BRAVE_BIRD,40,15/15/15,PARASECT,RANDOM,RANDOM,1.6568952128194965,92591,1.21,0.52017695
