Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6049661,107683,0.85,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6206381,110473,0.825,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6359661,113201,0.9,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6364065,113280,0.885,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6424223,114351,1.185,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,PINSIR,RANDOM,RANDOM,0.64945865,115603,0.89,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,PINSIR,RANDOM,RANDOM,0.65233016,116114,0.86,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6692606,119128,1.155,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,PINSIR,RANDOM,RANDOM,0.67059106,119365,1.315,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,PINSIR,RANDOM,RANDOM,0.6803123,121095,0.955,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,PINSIR,RANDOM,RANDOM,0.69024146,122862,0.99,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PINSIR,RANDOM,RANDOM,0.69028884,122871,0.935,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,PINSIR,RANDOM,RANDOM,0.69328195,123404,0.975,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,PINSIR,RANDOM,RANDOM,0.69893724,124410,0.97,
