Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0,114344,3.480389588407968,0.65949714
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0380330079975781,119801,3.2183333333333333,0.6845798
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0495494339823823,121112,3.105,0.69217485
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0607059948736093,124516,1.38,0.69953257
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0736724347280717,123939,3.323731054608523,0.7080839
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.076843699428325,124277,3.12,0.71017534
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.0930958093313339,119596,5.538241825884038,0.72089356
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1029758218511758,127834,2.680482641828959,0.7274094
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1103382495335765,128353,2.76,0.7322649
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1155540416748433,128910,3.455300831504196,0.7357047
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1279691068864983,124496,4.958119243464498,0.7438924
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.134378914819858,133165,1.485,0.74811965
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1422164772390067,125217,5.889757721534442,0.7532885
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1496882306419098,134962,1.22,0.7582161
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1730771114488836,134792,3.3044072622401006,0.773641
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.187268575569562,137006,3.731934342365218,0.78300023
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1975234646203317,139148,2.971123919308357,0.7897633
HO_OH_SHADOW_FORM,HIDDEN_POWER_GRASS_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1975234646203317,139148,2.971123919308357,0.7897633
HO_OH_SHADOW_FORM,HIDDEN_POWER_ELECTRIC_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.1975234646203317,139148,2.971123919308357,0.7897633
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2002680557492638,140900,1.61,0.79157335
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2484331622726976,144343,3.949634781458161,0.8233381
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2509614522361687,136657,6.334060279981122,0.8250055
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2518441399154514,144852,3.2264361137756628,0.82558763
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2631652959101536,147886,3.2053115352231263,0.8330539
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2635654492754889,145810,3.991587567980535,0.8333178
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2671155783935621,146538,3.9934453429059427,0.8356591
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.270570832194966,149068,3.175,0.83793783
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,1.2741225837613186,149278,3.215,0.8402802
