Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.6734598,119429,2.0205775764439413,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7095027,126291,2.205,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.71765244,127718,1.63,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.72153354,128432,0.7,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.72371346,126433,3.4625882639928056,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.72629285,129280,1.655,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7326487,130411,1.935,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.73310816,130493,1.865,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7384526,129698,3.4408807663479903,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7410965,131457,2.915,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7520488,133827,1.745,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.75427264,134260,1.985,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,ZAP_CANNON,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.76008964,135295,1.77,
THUNDURUS_THERIAN_FORM,VOLT_SWITCH_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7610021,135458,2.21,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.76134783,135519,2.185,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.76359576,135864,1.75,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7791724,138692,0.77,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.78872526,140393,0.565,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.79206014,140958,1.93,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,ZAP_CANNON,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8021676,142785,2.095,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8189295,145735,1.92,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GRASS_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8189295,145735,1.92,
