Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.65949714,114344,3.480389588407968,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.6845798,119801,3.2183333333333333,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.69217485,121112,3.105,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.69953257,124516,1.38,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.70106024,122623,3.105,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7080839,123939,3.323731054608523,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.71017534,124277,3.12,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.72089356,119596,5.538241825884038,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.72713745,127452,3.215,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7274094,127834,2.680482641828959,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7322649,128353,2.76,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7357047,128910,3.455300831504196,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7438924,124496,4.958119243464498,
THUNDURUS_THERIAN_FORM,VOLT_SWITCH_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.74553514,130590,3.420218242865137,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,ZAP_CANNON,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7475864,131627,3.257171581769437,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.74811965,133165,1.485,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7532885,125217,5.889757721534442,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7582161,134962,1.22,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.773641,134792,3.3044072622401006,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.78300023,137006,3.731934342365218,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7897633,139148,2.971123919308357,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GRASS_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7897633,139148,2.971123919308357,
HO_OH_SHADOW_FORM,HIDDEN_POWER_ELECTRIC_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7897633,139148,2.971123919308357,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,ZAP_CANNON,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7907827,139781,3.4053889304412865,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.79157335,140900,1.61,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,THUNDER,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.7944131,139159,3.652614392204046,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8233381,144343,3.949634781458161,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8250055,136657,6.334060279981122,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.82558763,144852,3.2264361137756628,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8330539,147886,3.2053115352231263,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8333178,145810,3.991587567980535,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8356591,146538,3.9934453429059427,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SOLAR_BEAM,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.83773863,147662,3.157163432583195,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.83793783,149068,3.175,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.83891916,139113,6.642725972604728,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8402802,149278,3.215,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SOLAR_BEAM,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.84177226,148513,3.1334265665710848,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.84204817,141065,5.644278619451537,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8459941,150546,3.17,
ZAPDOS,THUNDER_SHOCK_FAST,THUNDERBOLT,40,15/15/15,POLIWRATH,RANDOM,RANDOM,0.8471717,150513,3.23,
