Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5182569,92249,0.885,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.54550856,96996,1.54,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.55552644,98883,0.445,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5582454,99367,1.315,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.560353,97532,2.63,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.56722605,100301,2.19,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5700518,101469,0.87,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.57777846,100712,2.67,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5795898,103166,0.905,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.59116006,105207,1.58,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.59963167,106734,1.19,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6120908,108952,1.105,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6136697,109233,0.555,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6194597,110263,1.41,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.61970896,110308,0.945,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6231951,110928,0.945,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6263912,111497,0.355,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6324133,112552,1.915,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6369127,111434,2.9452351623740203,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64011526,113456,2.545,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64260983,114384,0.575,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64937013,115587,1.15,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6547408,116069,1.53,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6551514,115767,2.565,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6584529,117204,1.765,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6588955,117279,1.88,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6614905,117745,1.225,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.662671,117955,1.09,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.664754,115135,3.2556352822152963,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6654031,118419,2.055,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.66912514,119104,1.11,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.67425513,120017,1.0,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.67463475,119806,1.6,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6759532,119292,2.635,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6773357,120549,2.155,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6803812,121107,1.53,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68084055,121189,1.46,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68473816,121883,2.04,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6852613,121976,0.82,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6855873,122034,0.835,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6856651,122048,1.85,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6859221,122068,1.95,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6868198,122253,1.09,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6972272,123577,1.775,
PIDGEOT_MEGA,GUST_FAST,RETURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.69837594,124273,2.205,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6989611,124415,1.215,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.70394415,125281,1.805,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,RETURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7047417,125444,1.2,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FIRE_BLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.70493233,125477,1.35,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,FUTURESIGHT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7082584,126069,0.66,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7094113,124550,3.366722239216992,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7116135,126667,1.515,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7137122,127040,1.185,
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7153497,126996,2.58,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.71544427,127349,0.46,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7158056,127413,1.09,
TOGEKISS,CHARM_FAST,DAZZLING_GLEAM,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7167781,127586,0.985,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.71818185,127836,1.085,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.7225382,128611,1.395,
HO_OH_SHADOW_FORM,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.723787,128834,0.98,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.72663957,129341,1.165,
