Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.48879704,87005,1.745,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5280613,93994,0.9,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.53044295,93071,2.355,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5451333,95091,2.445,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5468464,92086,3.8087521690907153,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.54704547,97374,1.45,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.54729295,97418,1.365,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.56991875,95903,4.104691758764534,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5704454,99984,2.535,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.57085395,95782,3.5593541730518967,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5733575,101215,2.175,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5739501,102156,2.01,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.58475566,104086,1.065,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5893267,104900,1.775,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.59033835,104196,2.22,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5935243,105647,1.57,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.5960069,106089,0.75,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6059925,106104,2.695,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6092286,108442,1.175,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.620763,104717,4.3796422751296085,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.62885946,110319,2.4835933074390577,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.62911886,111983,1.84,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6319817,110681,2.895,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6321792,107636,4.016516371341159,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6369225,113372,1.845,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.63787556,113541,1.89,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6399476,112041,2.925,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64014864,113946,1.675,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6421226,107473,4.679265611472083,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64213145,114299,1.725,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6422937,114328,1.215,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6438211,114378,2.18,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64413077,114247,2.12,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64583886,114959,1.885,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.64625174,112834,3.005345602697387,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.65043676,115777,1.305,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.65264016,110493,3.9290200666724,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.65380716,114518,2.6278122535049175,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.66519576,116604,3.085,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6656783,116259,3.115,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.66643804,115700,3.729710632344768,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.66688997,116766,2.904164871895268,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.66806775,113057,4.0420382527515075,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,FUTURESIGHT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6692549,119127,1.285,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6702379,117029,3.16,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,RETURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6703833,119328,2.005,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6710805,119452,1.98,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6751851,120182,2.02,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.67672265,120456,1.775,
PIDGEOT_MEGA,GUST_FAST,RETURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.67689997,118091,3.2,
HO_OH_SHADOW_FORM,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.67941314,120935,1.765,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6824646,120888,2.225,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6842043,119899,2.920773785768405,
TOGEKISS,CHARM_FAST,DAZZLING_GLEAM,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68421054,121595,1.65,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68576944,116224,4.925662558144395,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FIRE_BLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6861059,122126,2.075,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68752635,122379,0.96,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6885258,122557,2.08,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.68889135,122601,2.6,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,RETURN,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.69294286,123343,2.115,
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.69308996,123370,1.82,
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.69308996,123370,1.82,
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.69308996,123370,1.82,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,PRIMEAPE,RANDOM,RANDOM,0.6932823,122732,2.275,
