Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.0,106128,0.945,0.59623015
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.0423244614516725,110620,0.78,0.62146527
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.0916859873657847,115859,1.34,0.6508961
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.10233075264644,116989,0.75,0.65724283
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1055765965541997,116961,2.275,0.6591781
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1213585894641522,118802,2.295,0.6685878
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1331926102697087,120264,1.78,0.6756436
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1389546469597354,120876,1.185,0.6790791
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.13910626626312,120892,0.58,0.6791695
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.13910626626312,120892,0.58,0.6791695
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.146988457393508,121436,2.415,0.6838691
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1475247268189976,121785,1.285,0.68418884
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1893775247695877,126227,0.885,0.70914274
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.1927684804265601,126258,2.48,0.71116453
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2285465604179862,130384,0.76,0.7324965
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2422782209185497,131841,1.61,0.74068373
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2589601515455064,133612,0.775,0.75063
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2589601515455064,133612,0.775,0.75063
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.271276704138494,134919,1.375,0.7579735
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.282733857051677,136135,0.68,0.7648046
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2835531715395472,136222,2.08,0.7652931
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.2884808827597865,136745,1.67,0.76823115
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3059698507363304,138601,1.385,0.7786586
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3073733356154498,138750,1.22,0.7794954
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3139160439974396,139444,1.55,0.78339636
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,1.314047939373747,139458,2.385,0.783475
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3165460351174794,139723,0.86,0.78496444
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3278646509238086,140924,1.765,0.79171294
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3404829661834443,142264,1.765,0.79923636
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,1.3424743783923037,142475,2.455,0.8004237
