Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.5412556,96343,1.31,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.55705965,99156,1.33,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.570129,101482,1.385,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.5721642,101435,1.815,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.5804658,103299,1.395,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.5855147,104221,1.355,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.59597135,105627,1.915,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.59731543,106322,1.375,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6056467,107774,1.485,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6060632,107577,1.89,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.61797345,109769,1.865,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.61854416,110100,1.505,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.62215114,110742,1.39,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6231042,110736,2.315,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6280991,111800,1.555,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6308022,112282,1.55,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6361993,113243,1.435,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.64238733,114270,2.355,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.642927,113898,2.385,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.64742666,115241,1.385,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.64742666,115241,1.385,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.65970147,111413,3.9342119319688282,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6598799,117019,2.14,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6620064,117474,2.45,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6635146,118105,1.425,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6635146,118105,1.425,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6663101,118493,2.505,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.667274,116047,3.4704396843291994,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,TANGELA,RANDOM,RANDOM,0.67013395,119283,1.49,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.67633134,119920,2.515,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,TANGELA,RANDOM,RANDOM,0.67750114,119904,2.485,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6776597,114753,3.979428337330564,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6800811,115560,4.060287031750699,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.6809181,121203,1.845,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.68722427,121827,2.56,
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.69359475,123459,1.46,
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.69359475,123459,1.46,
HO_OH_SHADOW_FORM,HIDDEN_POWER_BUG_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.69359475,123459,1.46,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,TANGELA,RANDOM,RANDOM,0.70049316,124580,2.26,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7008283,124747,1.925,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7011023,124796,1.77,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7036405,125248,1.32,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7069834,125664,2.715,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,TANGELA,RANDOM,RANDOM,0.70959926,125750,2.46,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7118514,126314,2.45,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.71302825,120722,4.123970767700212,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7178378,127503,2.575,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7188523,126963,2.69,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7232401,128186,2.97,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,TANGELA,RANDOM,RANDOM,0.72555107,128616,2.97,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7306764,130060,1.34,
HO_OH,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7306764,130060,1.34,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.73339343,129707,2.715,
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,TANGELA,RANDOM,RANDOM,0.73567533,130950,1.395,
CHARIZARD_SHADOW_FORM,EMBER_FAST,OVERHEAT,40,15/15/15,TANGELA,RANDOM,RANDOM,0.7384808,131021,2.68,
