Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.0,114691,2.489609280871481,0.6557277
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.0089101009458652,115682,2.480201342281879,0.6615703
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.035681625162396,120763,1.86,0.67912513
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.0675433567927664,122974,2.935,0.70001775
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.0925032601184912,127516,1.525,0.71638465
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.0979836599856923,126305,3.075,0.7199783
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1075534859973126,129139,2.0,0.7262535
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1077537215524067,129123,2.01,0.7263848
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1077537215524067,129123,2.01,0.7263848
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1207858688903947,127145,4.2032958899557205,0.73493034
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1415028982304698,125599,5.089459911689605,0.74851507
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.143931238530872,131362,3.1002521008403363,0.7501074
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1542641861858207,134725,1.645,0.756883
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1756103943755922,130340,5.158390354515944,0.7708803
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1792853954469211,136609,2.385,0.7732901
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.1957971883756016,131547,5.281138537112198,0.78411734
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2126330792492066,140689,2.455,0.7951571
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2250457773859487,140973,3.4671746149245384,0.80329645
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2329587418680041,143910,1.465,0.8084852
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2339312492060348,144023,1.905,0.8091229
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.235129688741226,141699,3.801329396162755,0.80990875
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2364643128542534,144319,1.78,0.8107839
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.2504478612082424,145467,2.575,0.8199533
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,1.254095198357489,143577,3.8919954831435293,0.82234496
