Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6187343,110134,0.845,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6310348,112324,0.825,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6520004,116056,0.84,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6550016,116590,0.955,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.65686697,116922,0.86,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6683238,118961,1.31,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.673861,119947,1.2,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.69215834,123204,0.94,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6934572,123435,0.92,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.69901747,124425,1.065,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.69940406,124493,1.455,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6998163,124567,1.07,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.71151906,126650,1.06,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.715456,127350,1.395,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7163313,127507,1.03,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.71701986,127629,1.815,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.72216654,128545,1.11,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7294683,129735,1.815,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.737055,131195,0.885,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7373572,129709,2.9831769790002873,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7375303,131091,2.38,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.73796535,131357,1.6,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7481032,133162,0.95,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7515651,133778,1.75,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7530027,132876,3.046035069358478,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7550408,134397,1.005,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7550408,134397,1.005,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.75728005,134795,1.79,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7625169,135728,1.605,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.76385546,135966,1.2,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.76699126,136462,1.855,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7670746,136494,1.965,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.76714784,136355,1.87,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7691542,135164,3.1983916182797953,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7775705,138407,1.05,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.77878743,138624,1.54,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.78084874,138991,0.945,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.78429383,139604,1.125,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.78429383,139604,1.125,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8019439,142746,1.38,
HO_OH_SHADOW_FORM,INCINERATE_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.80251426,142847,1.305,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.80663866,143581,1.785,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8102869,143085,3.330712579346119,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.81051373,144222,1.905,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8106131,144289,1.045,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8131714,144670,1.96,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.81560296,145177,1.68,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8173282,145470,2.035,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8264763,147090,2.205,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8270007,147206,1.285,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8304613,147822,1.94,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.83084214,147889,0.815,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8321757,147952,2.74,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.83490866,148551,2.05,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.83608174,148822,1.495,
CHARIZARD_SHADOW_FORM,EMBER_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8374118,149024,1.985,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8419828,149872,1.06,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.845943,150577,1.57,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8467284,150717,2.23,
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8472165,150804,1.19,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,DRACO_METEOR,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.85005766,151310,1.825,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.85084486,151450,1.985,
HO_OH,EXTRASENSORY_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.85188955,151636,0.97,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8573225,151944,2.9427625568310676,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.85786736,152700,2.125,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8608937,153239,1.06,
HO_OH,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8608937,153239,1.06,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.86258835,151972,3.6560250901174225,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.86405873,153802,2.21,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8707119,154986,1.7,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8711496,155064,2.48,
MOLTRES,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8736995,155518,1.4726260267353843,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.87651426,155720,2.985,
CHARIZARD,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.87748337,156192,1.855,
SALAMENCE_SHADOW_FORM,FIRE_FANG_FAST,OUTRAGE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8816461,156933,1.97,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8839417,157341,1.69,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.89262193,158886,2.065,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8935084,159044,1.1,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.89482516,159278,2.27,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.89574987,159443,1.67,
CHARIZARD,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.8990722,160034,1.785,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.90030855,160254,2.48,
