Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6090214,108204,1.75,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6231954,110734,1.8,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.63777965,113272,1.805,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6393255,113460,1.765,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.64131075,113897,1.835,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6557277,114691,2.489609280871481,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6615703,115682,2.480201342281879,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6697047,119150,1.865,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6724406,119582,1.82,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6762952,119883,1.955,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.67912513,120763,1.86,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6827446,121287,1.92,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.68895996,122361,1.905,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.6984104,122446,2.59750503881408,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.70001775,122974,2.935,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7025057,124831,1.98,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.710578,124554,2.5797133434026396,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.71638465,127516,1.525,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7199783,126305,3.075,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7249249,126795,3.002106318452145,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7262535,129139,2.0,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7263848,129123,2.01,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7263848,129123,2.01,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7286033,129318,2.02,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.73493034,127145,4.2032958899557205,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.74781686,130661,3.0359236664734817,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.74851507,125599,5.089459911689605,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.748676,133105,2.085,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.748676,133105,2.085,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7501074,131362,3.1002521008403363,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,SACRED_FIRE_PLUS,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.75054026,133473,2.1,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.756883,134725,1.645,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7576444,132445,2.8755521108707933,
CHARIZARD_SHADOW_FORM,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7613002,133066,3.1219772683970155,
CHARIZARD_SHADOW_FORM,EMBER_FAST,BLAST_BURN,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7619455,133370,3.1824993463783016,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7708803,130340,5.158390354515944,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.7714217,134853,3.1921527214837626,
HO_OH_SHADOW_FORM,INCINERATE_FAST,FIRE_BLAST,40,15/15/15,VENUSAUR,RANDOM,RANDOM,0.77327037,137491,2.13,
