Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.0,101222,2.265,0.5770361
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.0379376610926074,105063,2.33,0.5989275
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.0594084148288123,108411,1.79,0.6113169
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.0951071172150233,110854,2.877674715227439,0.63191634
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1097718149696352,113987,1.51,0.6403784
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1183199803270538,114680,1.89,0.645311
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1183199803270538,114680,1.89,0.645311
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1262649771825366,115573,1.86,0.64989555
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1491800946249289,116394,3.055,0.6631184
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1764723212291222,120838,1.615,0.678867
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1791890316741014,116515,4.163283407577278,0.68043464
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1846111534442991,120560,2.285,0.6835634
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.1894098133548314,120404,3.0562771503040835,0.6863324
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2048296458401822,115154,5.392865876973203,0.6952302
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2191599451056874,124139,2.33,0.7034993
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2217486392965706,125488,1.475,0.70499307
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2305898192504765,118120,5.246569593653836,0.71009475
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2431748031015737,127689,1.83,0.71735674
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2446366873753651,127839,1.75,0.7182003
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2499110540917628,126662,3.4100995870929207,0.7212438
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.25771309628635,120477,5.6361284897108375,0.72574586
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2610283308098054,127433,3.5881242667994955,0.72765887
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.2797639523766362,129278,3.5648417954468776,0.73847
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.3079603858406776,132864,2.865,0.75474036
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.3243046665537908,133730,3.709970593331114,0.7641716
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.3278727275468554,134598,3.571896042528057,0.7662305
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.3296449910152934,136571,1.85,0.76725316
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,1.3374720229808845,128446,5.672114589474728,0.77176964
