Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.5521661,98281,0.9,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.573756,102128,0.85,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.576173,102558,0.965,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.58235955,103660,0.985,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.58997107,105014,0.99,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.5901468,105015,1.305,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6159343,109586,1.325,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6165589,109747,0.94,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.61819655,110038,1.08,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6227092,110842,1.075,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6244924,111142,1.385,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6340153,112854,1.165,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.64191717,114261,1.15,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.64273417,114406,1.35,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6427552,114410,1.175,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6434977,114512,1.825,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6553214,116647,1.135,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.65557116,116691,0.875,
CHARIZARD_SHADOW_FORM,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6580764,116874,1.76,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6607382,115822,2.995832780358328,
CHARIZARD_SHADOW_FORM,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6658041,118420,1.685,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6666082,118656,1.05,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VILEPLUME,RANDOM,RANDOM,0.6666082,118656,1.05,
