Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.0,590868,28.035978350853867,2.148584
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.0248791762388625,605653,28.65710882366565,2.202039
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.0687218651912143,649455,24.55454877052807,2.2962387
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1325983066056529,689540,25.829630240409337,2.4334826
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1325983066056529,689540,25.829630240409337,2.4334826
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1393913386676993,675285,30.034984207112966,2.448078
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1495381144046497,682442,30.19936250552202,2.4698792
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1521946547121267,682944,31.980340833189235,2.475587
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1680077204335506,700570,29.334370998632558,2.5095627
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1821888741608426,681138,40.92372577576399,2.5400321
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.1857983676691253,702512,32.761559771776845,2.5477874
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2011538762273197,712723,31.738275568087662,2.58078
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2069244209209413,725078,30.215420226286987,2.5931785
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2277284481314206,749974,23.77301020370375,2.6378777
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2284010306322675,709118,42.44227268152072,2.6393228
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.229430173546857,708802,40.96648701581339,2.641534
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2405297628577705,713427,43.369306298667674,2.6653824
HO_OH_SHADOW_FORM,HIDDEN_POWER_ROCK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2499990691543825,761052,28.475842256837577,2.685728
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2779389588677939,781361,21.752232652529564,2.7457592
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2842260763367872,762025,33.861096754097076,2.7592676
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.2992007759529065,749914,44.720516828439656,2.791442
