Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.8493227,506855,24.594908991627463,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,1.9205235,526150,25.514339667078538,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.015765,555364,25.04370662159808,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.0547009,567179,25.558102128439383,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.061569,564725,27.695076618245484,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.0856774,574259,26.030824720006237,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.119282,582800,28.031706185695427,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.1378624,584924,28.5949791996736,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.1706793,601979,25.966492158198374,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.1746383,599666,26.98837131616954,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.1896079,600176,29.137254538708206,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.19226,602733,28.886265291520896,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.200907,578835,39.47266296392873,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2015083,610295,26.59422269224334,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2070749,608705,27.36201581054893,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2196398,611363,27.81184283277696,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2217152,612388,28.551937254198105,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2291486,613274,27.900400361172682,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2376368,616816,27.90480010768324,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2456968,638257,19.382984299693664,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2600787,600103,37.86312554681176,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2613382,622904,28.291492268693737,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2858589,630225,28.586100034046968,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2942894,628516,30.39585692222512,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.2984269,604182,41.48364403226444,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3021324,654224,22.17011479526031,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3069706,633372,30.47138183620059,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3074524,636064,29.61793245615941,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3113432,641205,27.59226476360855,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3160799,634634,30.860478847777976,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.3638146,670557,23.238740394926957,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.4063954,633919,43.079789541691596,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.4081635,651894,36.26318347886583,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_BUG_FORM,RANDOM,RANDOM,2.4107287,661025,32.12336494496759,
