Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0,621166,14.658757935641146,2.1627874
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0703737223547722,689867,10.6745728048097,2.3149908
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0787810211951485,663300,21.45620722077219,2.333174
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0828590919292391,686538,13.708221079085058,2.341994
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0906707705066156,677694,17.160786202920505,2.358889
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.09952943132552,689706,14.907496563892728,2.3780484
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.10735216045738,704132,13.445827614244115,2.3949673
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1177137429226747,688439,22.035452503894316,2.4173772
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1274131706149204,705189,15.695674768461867,2.438355
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1284213603241817,694874,21.06187008479792,2.4405355
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.13103895463789,705022,16.463138616857023,2.4461968
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1436951223222402,737123,11.392983951680954,2.4735694
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.158824579799198,716661,17.73446250563367,2.5062912
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1690972029890687,753495,9.343798363720856,2.5285087
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1858644081244416,751129,15.09103567504101,2.5647726
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1866414609221416,733950,18.10811060234575,2.5664532
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1875314235694179,765376,11.693993382996181,2.568378
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1892904499073742,754932,15.126734829797726,2.5721824
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2027388822405753,738112,24.340199246565813,2.6012685
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2178766160742382,750476,22.60016688848521,2.6340082
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2440722560155473,773097,18.95829554081017,2.6906638
