Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0,606327,28.553342270624004,2.2023911
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.07738675478665,674486,18.776557139099637,2.372827
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.0922812937266229,682428,25.489798456248764,2.4056306
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1045644890228625,689497,25.844851203823524,2.432683
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1084242939412534,674528,29.934996124043877,2.4411838
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1167637755165285,680807,30.009715079392592,2.4595506
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1219289344204124,681425,31.828636816779035,2.4709263
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1430233712804234,725920,16.916161403877048,2.5173845
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1455699217091824,695044,32.623215863352854,2.522993
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1506610701432638,720411,20.05577204818682,2.5342057
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.155071140634377,681750,40.928159932162714,2.5439184
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1590535849876982,704749,32.75556490457118,2.5526893
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1618582639568422,727240,20.369342519786194,2.5588663
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.172649716937196,713452,31.499636877056513,2.5826333
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1782080394349579,726653,30.124639892596996,2.5948749
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.1940475059130051,706580,40.69970400109579,2.6297596
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2026788066842442,709742,42.72430857517799,2.6487691
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2184369978610974,760524,28.382672579131942,2.6834748
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2513592158994833,762085,33.66385409242444,2.7559824
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2648494629314475,792046,25.119770642286014,2.7856932
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2749895329671466,778608,34.11145420908928,2.8080256
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.277260610070573,805138,25.901720213478214,2.8130274
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.290778554272218,763264,45.387798744538976,2.8427992
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2930186650318376,776482,41.14777803067451,2.8477328
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2950267552388857,808572,30.116075685325672,2.8521554
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2965932345077131,767309,44.40414786503875,2.8556054
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.2985789399530356,785574,37.889124444527596,2.8599787
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3007647006928063,814566,25.796405582697513,2.8647926
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3020053522737176,793787,34.93824723914139,2.867525
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3055615780503291,791994,38.097660118840025,2.8753572
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.313944557803562,800403,35.33199329497935,2.8938198
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.315982660845297,804216,35.174621745625615,2.8983085
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.319596415005491,838326,19.500479591714086,2.9062674
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3253329074931335,818967,33.24518072374014,2.9189014
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3272466457024823,831001,22.999006112933383,2.9231162
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.338121326407467,817209,35.84125794589638,2.9470665
HO_OH_SHADOW_FORM,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.340022668998254,835966,31.233002440183036,2.951254
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.341465192081461,827626,34.19263619856366,2.954431
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.34908236779562,810065,41.47737824263634,2.971207
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3506125229074892,811568,43.00920523458757,2.974577
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3520780664251686,817519,39.8483666507941,2.9778047
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.352958473179446,845060,31.3203448943495,2.9797437
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3597008723836561,840961,34.05171167803052,2.9945931
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3742926040701855,873069,20.457198505542802,3.0267298
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3748326988789594,837632,36.68561529919997,3.0279193
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3797273336238964,863991,27.331560157634076,3.0386992
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3820424537676346,829094,42.323506233758565,3.043798
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.3830898154283315,836402,40.815570332316064,3.0461047
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4066691424606648,833129,49.34449738757355,3.0980356
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4071205609212643,878706,32.58527295318484,3.0990298
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4103206737440959,845983,41.35393447130224,3.1060777
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.414170534924519,885923,24.700096485289805,3.1145566
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4256056519661746,892464,24.713834134198496,3.1397412
HO_OH_SHADOW_FORM,HIDDEN_POWER_WATER_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4342482586312668,896102,33.12357059875719,3.1587756
HO_OH_SHADOW_FORM,HIDDEN_POWER_STEEL_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4342482586312668,896102,33.12357059875719,3.1587756
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4380152553286292,875269,38.5066243174152,3.167072
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4425017427649431,867793,45.599160948780124,3.176953
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4450717222749403,877067,41.77328814283832,3.1826131
TOGEKISS,CHARM_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.478112130039029,924454,31.492770931931336,3.255381
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.481469254030313,927775,29.108937649419676,3.2627747
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.484343720786013,892070,45.41070012577372,3.2691054
LUGIA,DRAGON_TAIL_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.4844945568477825,943091,21.73841158951569,3.2694376
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5194656843645984,919500,44.64923250550548,3.3464577
TOGEKISS,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5222800346405325,954455,32.09834231135704,3.352656
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5288028543159298,900759,55.60936574896161,3.3670218
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5369756080107662,930316,44.81125628791443,3.3850214
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5482163908126947,930705,49.068643452955875,3.409778
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5642881048692943,979654,30.758127733268743,3.4451742
TOGEKISS,HIDDEN_POWER_FLYING_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5742067791683323,986942,33.17635556595685,3.467019
HO_OH,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5877008402367772,994276,31.34386026863829,3.4967382
YANMEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.5909637484459505,957544,46.130935379963255,3.5039244
GLISCOR_SHADOW_FORM,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,1.6101566156891935,974380,44.708720582339,3.5461946
