Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.2023911,606327,28.553342270624004,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.372827,674486,18.776557139099637,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.4056306,682428,25.489798456248764,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.432683,689497,25.844851203823524,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.4411838,674528,29.934996124043877,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.4595506,680807,30.009715079392592,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.4709263,681425,31.828636816779035,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5173845,725920,16.916161403877048,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.522993,695044,32.623215863352854,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5342057,720411,20.05577204818682,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5439184,681750,40.928159932162714,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5526893,704749,32.75556490457118,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5588663,727240,20.369342519786194,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5826333,713452,31.499636877056513,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.5948749,726653,30.124639892596996,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.6297596,706580,40.69970400109579,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_FIGHTING_FORM,RANDOM,RANDOM,2.6487691,709742,42.72430857517799,
