Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.0,591097,27.78576742290612,2.14496
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.025372034909742,606685,28.33757925653116,2.199382
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.0698671303893779,649569,24.461324741831895,2.2948222
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1341209160077577,689816,25.587724113559954,2.432644
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1341209160077577,689816,25.587724113559954,2.432644
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1349250335670595,673585,29.662426956789417,2.4343688
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1463369013874383,681265,29.849148679052142,2.4588468
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1655217812919587,700746,28.80925127966977,2.4999976
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.182212861778308,680992,40.53817351937377,2.5357993
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.1989692115470683,711966,31.30610907969066,2.571741
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.2068001268088915,725322,29.900538743526848,2.588538
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.2187341488885572,722621,33.28399455653113,2.614136
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.2234901350141727,726123,33.176982736793136,2.6243374
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,ARCEUS_GRASS_FORM,RANDOM,RANDOM,1.227548439131732,707963,41.830354975908485,2.6330423
