Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,KELDEO,RANDOM,RANDOM,0.9999999999999999,510831,19.01229378259993,1.8158907
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0166426866991498,536938,11.925095893917591,1.846112
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0285054601579269,511870,25.75859992899729,1.8676535
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0330973114185782,528021,19.577938229409,1.8759918
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0473092901461525,529370,21.538012708808207,1.9017992
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0655251992864987,538185,22.19820537145175,1.9348773
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0677870644967782,545913,19.52563263926325,1.9389846
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.069579187778207,546994,19.72578299996746,1.9422389
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,KELDEO,RANDOM,RANDOM,1.0868812203289548,574163,12.743978102617476,1.9736575
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1017056257846354,556878,22.70372452941714,2.000577
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1148146746938017,597218,11.617166798979936,2.0243816
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1361523576281325,600261,13.400399000483949,2.0631285
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1551884703192763,590862,21.288831096985085,2.097696
HO_OH_SHADOW_FORM,HIDDEN_POWER_GRASS_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1551884703192763,590862,21.288831096985085,2.097696
HO_OH_SHADOW_FORM,HIDDEN_POWER_ELECTRIC_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1551884703192763,590862,21.288831096985085,2.097696
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1679067468102569,604826,18.08805330302483,2.120791
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1851741957817175,599299,24.135235698082365,2.1521468
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,KELDEO,RANDOM,RANDOM,1.197426585201411,567861,41.00013103015539,2.1743958
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,KELDEO,RANDOM,RANDOM,1.1980048138359867,581367,35.09735221196203,2.1754458
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,KELDEO,RANDOM,RANDOM,1.2231437167446255,627335,20.641560411940453,2.2210953
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.2266428810941097,635659,19.04052652754579,2.2274494
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.2367454164504503,625194,25.281673475994648,2.2457945
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.245269167356824,629454,25.4848638173252,2.2612727
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,KELDEO,RANDOM,RANDOM,1.252362270482469,633866,25.185260764414334,2.274153
