Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.0,512984,13.491780267990912,1.8007936
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.0340328286373297,530558,13.921757141927214,1.8620797
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.0341620494430899,544770,10.655532633839194,1.8623124
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.0989063377390944,560268,18.62168974629572,1.9789035
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1055299730074561,581449,11.444743834966435,1.9908313
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1055299730074561,581449,11.444743834966435,1.9908313
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1231053908676707,572135,19.261494585143872,2.022481
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1355650642028048,560617,26.96267605926137,2.0449183
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.166896250630833,581383,25.792557242114466,2.1013393
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1725194380966257,609446,13.606252182179679,2.1114655
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1820866089261977,602396,20.125392755055937,2.128694
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.1837912462594269,584667,28.01226623973673,2.1317637
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2049013279478558,633864,12.478361054362756,2.1697786
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2049013279478558,633864,12.478361054362756,2.1697786
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.210597649836161,596891,28.805377734470632,2.1800365
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2149560060631046,649889,11.115223957077685,2.187885
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2313726570329881,639650,14.33042249847688,2.217448
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.246620601050559,660531,12.001541383142225,2.2449064
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2500584186882937,639417,20.94530963411374,2.2510972
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2567275894361243,641814,21.172624716801614,2.263107
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2581747291860654,643455,21.055760096388944,2.265713
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.265781819748804,623365,30.1362151542678,2.2794118
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.276680292511035,636016,28.141533928068313,2.2990377
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.2876317419164527,668204,15.421993429874625,2.318759
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.3032318639959626,664627,22.17766750558852,2.3468516
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.3124316967807972,702401,12.019160661889611,2.3634186
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.3124316967807972,702401,12.019160661889611,2.3634186
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,SHAYMIN,RANDOM,RANDOM,1.3141894773504303,660809,27.287917265813586,2.366584
