Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.0,372606,16.36681420062458,1.347277
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.0190994873363088,384676,14.135570886616517,1.3730093
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.026071253350276,378880,18.96973163227478,1.3824022
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.0565570406085756,398703,14.90667589460951,1.423475
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.063112856524679,409387,11.47152326427212,1.4323075
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.075801190104188,400749,18.832105402791502,1.4494022
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.0827063031581479,399348,20.188395528183424,1.4587053
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.0938176039522682,413204,15.068056094041562,1.4736753
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1266853067335076,430782,13.142744706334106,1.5179572
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1420560137224935,426024,18.53266917671855,1.5386658
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.151981663755857,456866,8.583643047027328,1.5520384
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1538156592890698,435892,15.8556156647017,1.5545093
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1834137300644187,448690,14.980234190133674,1.5943861
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1866789828669235,449745,15.06045892096631,1.5987853
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2101573766938796,462655,13.871226444493558,1.6304172
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2129415851380227,472118,12.436903589531214,1.6341683
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2213567068984328,469975,13.123013571238012,1.6455058
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.222100577683728,461970,16.62593419237521,1.646508
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2230737999683807,457666,19.200982106615,1.6478192
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2234162685179069,462068,16.932600936505352,1.6482806
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.223946968589236,471350,13.15285491047724,1.6489956
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2366905988894636,491016,7.360255370083696,1.6661648
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2406840612583752,491992,9.26794509746902,1.6715451
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2426738525188212,475796,14.129202341982662,1.6742259
