Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.347277,372606,16.36681420062458,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3730093,384676,14.135570886616517,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3824022,378880,18.96973163227478,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.423475,398703,14.90667589460951,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.4323075,409387,11.47152326427212,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.4494022,400749,18.832105402791502,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.4587053,399348,20.188395528183424,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.4736753,413204,15.068056094041562,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5179572,430782,13.142744706334106,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5386658,426024,18.53266917671855,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5520384,456866,8.583643047027328,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5545093,435892,15.8556156647017,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5943861,448690,14.980234190133674,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.5987853,449745,15.06045892096631,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6286976,463004,13.46335596109452,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6304172,462655,13.871226444493558,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6341683,472118,12.436903589531214,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6455058,469975,13.123013571238012,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.646508,461970,16.62593419237521,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6478192,457666,19.200982106615,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6482806,462068,16.932600936505352,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6489956,471350,13.15285491047724,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6614476,472087,13.71919479755051,
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6661648,491016,7.360255370083696,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6686746,473876,13.81055028529984,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6715451,491992,9.26794509746902,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6742259,475796,14.129202341982662,
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6751473,469785,16.93980179039978,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6824822,486825,12.630558267328006,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.6856657,462154,22.92471213854278,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7033205,483491,14.270178929063603,
PIDGEOT_MEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.717289,481933,17.2131603623692,
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7180717,487670,14.770358023350447,
PIDGEOT_MEGA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.719216,482545,17.22573858079983,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7224187,492441,13.68655087464831,
TORNADUS,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7236224,483683,17.014825834630905,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7292283,479794,20.772192491343265,
BRAVIARY,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7365891,487444,17.398974155947194,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7391144,494146,14.352225936309804,
STARAPTOR,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.741225,483112,20.39767287990333,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7471887,514429,9.735849953784953,
PIDGEOT_MEGA,GUST_FAST,AIR_CUTTER,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7513045,491339,17.706013362140503,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,FIRE_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7769694,504895,14.69624287171535,
UNFEZANT,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.7829773,495156,19.799007750556324,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.79861,498174,23.01593405073628,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8020445,512067,14.839935101161304,
TORNADUS_THERIAN_FORM,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8061963,506999,16.69098824559163,
HO_OH_SHADOW_FORM,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8174577,519255,14.49013927711882,
HO_OH_SHADOW_FORM,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8174577,519255,14.49013927711882,
HO_OH_SHADOW_FORM,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8174577,519255,14.49013927711882,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8587303,527864,15.338598866357925,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.860679,531595,14.900092735648094,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.8655723,529396,15.6329056463115,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9028343,525546,23.595461851360202,
ZAPDOS,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9100055,537468,16.37508620545544,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9296225,567955,10.494180896311518,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9438852,532588,26.45509422145317,
HONCHKROW,SNARL_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9439474,541035,22.26387398961164,
ZAPDOS,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9443341,546823,16.72096956197066,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9550846,558598,15.439251120180659,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9574655,559406,15.357520072697298,
HO_OH,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9651569,569915,14.683732159555403,
LUGIA,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9699534,580320,8.7240730989038,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9715478,559585,16.242001459892787,
HO_OH,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.9827994,574568,14.78357860506305,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0047169,546762,27.566304600471813,
HO_OH,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0183513,585304,15.098576273975787,
TOGEKISS,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.033417,584752,15.093058018939946,
HO_OH,HIDDEN_POWER_FLYING_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0349874,589580,15.08970033424011,
LUGIA,DRAGON_TAIL_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0412397,601724,8.920611183716641,
DRAGONITE_SHADOW_FORM,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0600064,584699,17.960837966337746,
GLISCOR_SHADOW_FORM,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0691848,586959,19.545408630450794,
RAYQUAZA,DRAGON_TAIL_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0734062,589663,17.174586535450842,
LUGIA,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.082946,613351,9.345982402623823,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.0889292,614887,11.371020358244962,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1002562,579794,26.046373647692125,
TOGEKISS,HIDDEN_POWER_FLYING_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1109443,606808,15.729411341684976,
YVELTAL,GUST_FAST,PSYCHIC,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1124804,609983,15.916465852319536,
SKARMORY_SHADOW_FORM,AIR_SLASH_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1231,614541,17.374079197211337,
DRAGONITE_SHADOW_FORM,DRAGON_BREATH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1238797,602841,18.659677317768914,
STARAPTOR,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1333082,592722,24.649233070943357,
MOLTRES,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1365652,605555,18.66045940724207,
CROBAT_SHADOW_FORM,AIR_SLASH_FAST,AIR_CUTTER,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1403916,601110,20.687445024047193,
LUGIA_SHADOW_FORM,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1467347,632116,11.917541648145063,
HO_OH,HIDDEN_POWER_PSYCHIC_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1565151,625334,16.068773325204774,
HO_OH,HIDDEN_POWER_POISON_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1565151,625334,16.068773325204774,
HO_OH,HIDDEN_POWER_ICE_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1565151,625334,16.068773325204774,
SKARMORY_SHADOW_FORM,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1570988,623605,17.75844190721249,
YANMEGA,WING_ATTACK_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1581175,599192,24.071257617286175,
HONCHKROW_SHADOW_FORM,PECK_FAST,PSYCHIC,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1714675,595839,29.482132572535757,
NOIVERN,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1878898,621109,18.924653090506308,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.1941106,605830,26.93807064346007,
SWELLOW,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2052958,596638,33.07827204943869,
DRAGONITE_SHADOW_FORM,STEEL_WING_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2101328,627614,19.07028276505436,
FEAROW,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2122495,612583,28.70564252579533,
CROBAT_SHADOW_FORM,AIR_SLASH_FAST,SLUDGE_BOMB,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.21597,622482,21.443355574305066,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2180512,613087,27.168000187148845,
HONCHKROW,SNARL_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2188287,615900,26.221677804700136,
RAYQUAZA,AIR_SLASH_FAST,RETURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.231362,633494,18.97301970013376,
SWELLOW,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2414176,605609,33.72008274428777,
RAYQUAZA,DRAGON_TAIL_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2577214,641148,19.13832052644791,
YVELTAL,GUST_FAST,RETURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.2964778,663142,17.36643909712782,
SCYTHER_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3019502,628894,30.781823828038387,
TORNADUS_THERIAN_FORM,GUST_FAST,PSYCHIC,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.311605,649093,20.974871490255335,
HO_OH,HIDDEN_POWER_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3158581,671305,17.237061786314243,
RAYQUAZA,SPLASH_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.336049,665813,19.10271071467015,
MOLTRES,WING_ATTACK_FAST,FIRE_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3463318,665241,20.35546852611008,
TOGEKISS,AIR_SLASH_FAST,DAZZLING_GLEAM,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3502245,676089,17.498268948463718,
TOGEKISS,CHARM_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3574402,678105,17.41829568684008,
TORNADUS,AIR_SLASH_FAST,RETURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3580241,662307,22.96745373630798,
YVELTAL,SNARL_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3698127,684174,17.827214161095366,
RAYQUAZA,AIR_SLASH_FAST,OUTRAGE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3776116,675038,20.071977010646034,
RAYQUAZA,AIR_SLASH_FAST,ANCIENT_POWER,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3776116,675038,20.071977010646034,
HO_OH,INCINERATE_FAST,SACRED_FIRE_PLUS_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.3952847,695782,17.49056873288773,
YVELTAL,GUST_FAST,DARK_PULSE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4054923,694799,18.13443881830676,
YVELTAL,GUST_FAST,FOCUS_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4168413,698010,18.094090690068125,
GLISCOR_SHADOW_FORM,FURY_CUTTER_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4192626,686454,22.637657156386123,
YVELTAL,GUST_FAST,HYPER_BEAM,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4272723,701096,18.246169375921205,
LUGIA,DRAGON_TAIL_FAST,AEROBLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4280753,715176,10.635249450882254,
TORNADUS_THERIAN_FORM,GUST_FAST,HEAT_WAVE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.462328,691380,22.292897807185383,
YVELTAL,SUCKER_PUNCH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4641993,711674,18.496316533961473,
UNFEZANT,STEEL_WING_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4645913,686579,26.93687968239607,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,FIRE_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.468419,681287,30.824628410849645,
MOLTRES,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.468673,700095,21.19564913911321,
CROBAT_SHADOW_FORM,AIR_SLASH_FAST,CROSS_POISON,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4857519,698240,23.96333552808021,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.487445,689333,31.35310485051587,
MOLTRES,WING_ATTACK_FAST,HEAT_WAVE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4896479,705871,21.55624600209613,
TOGEKISS,HIDDEN_POWER_PSYCHIC_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4973414,718777,18.402024038491877,
TOGEKISS,HIDDEN_POWER_POISON_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4973414,718777,18.402024038491877,
TOGEKISS,HIDDEN_POWER_ICE_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4973414,718777,18.402024038491877,
TOGEKISS,HIDDEN_POWER_FIRE_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4973414,718777,18.402024038491877,
BRAVIARY,STEEL_WING_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.4994276,701708,24.578603561165497,
TORNADUS,AIR_SLASH_FAST,HYPER_BEAM,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.503932,703874,24.166555257280212,
TOGEKISS,HIDDEN_POWER_FLYING_FAST,DAZZLING_GLEAM,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.5049465,720541,18.537565502289084,
TORNADUS,AIR_SLASH_FAST,GRASS_KNOT,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.511974,705901,24.376651439301625,
TORNADUS,AIR_SLASH_FAST,DARK_PULSE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.511974,705901,24.376651439301625,
LUGIA,DRAGON_TAIL_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.515751,740724,11.211869719734562,
YANMEGA,BUG_BITE_FAST,AERIAL_ACE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.536053,705137,27.565209944153338,
TOGEKISS,AIR_SLASH_FAST,FLAMETHROWER,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.5388205,729680,18.905604269943147,
HONCHKROW,PECK_FAST,PSYCHIC,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.561503,712070,29.585283999229937,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,HEAT_WAVE,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.5816147,713400,31.570425930092462,
BRAVIARY,AIR_SLASH_FAST,RETURN,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.6029885,731006,25.398485653091015,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,CLOSE_COMBAT,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.6286664,729250,33.093252351410804,
TORNADUS_THERIAN_FORM,GUST_FAST,FOCUS_BLAST,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.634191,740673,23.642163772354305,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,BUG_BUZZ,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.663574,728816,35.45804259137954,
SCYTHER_SHADOW_FORM,AIR_SLASH_FAST,FRUSTRATION,40,15/15/15,VIRIZION,RANDOM,RANDOM,2.663574,728816,35.45804259137954,
