Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1164154,308021,13.802655097491142,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1465001,321262,11.863625752888929,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1631756,318296,16.273127535769927,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1717542,334121,9.527115574556014,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.1938243,334542,12.58777348050236,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2203294,337042,16.3107151797006,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2274525,344220,12.564743649126074,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2315632,336435,17.19995891274517,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2679584,359638,11.34763993009034,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.2972943,381895,7.383767864254204,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3026359,365433,13.357669682868066,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3448082,381670,11.937819276238892,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3468555,378797,12.89888140453474,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3504378,379735,12.867249652596508,
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3509915,390589,10.332254553247992,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3554035,374322,16.63747693846106,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,VIRIZION,RANDOM,RANDOM,1.3632092,378084,16.187520129269934,
