Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,BLAST_BURN,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.2629374,358804,11.497843255560657,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.2783355,363184,11.655075788613456,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.316226,373917,12.00080444644286,
CHARIZARD_MEGA_Y,EMBER_FAST,BLAST_BURN,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3298056,377774,12.143174700892043,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,OVERHEAT,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3316257,378262,12.185392427575389,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3578343,377814,15.322740577204584,
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3898271,386642,15.704439597499169,
CHARIZARD_MEGA_Y,FIRE_SPIN_FAST,FLAMETHROWER,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3908572,395176,12.660820773453352,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.3993436,397308,12.835234428298177,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.405293,400957,11.859792210289765,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.4285656,405782,13.052661145397188,
HO_OH_SHADOW_FORM,INCINERATE_FAST,SACRED_FIRE_PLUS,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.435223,409419,12.138530228131465,
CHARIZARD_MEGA_Y,EMBER_FAST,OVERHEAT,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.4482809,411450,13.24757206225084,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,FLAMETHROWER,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.4579477,414268,13.276885411925951,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,BEEDRILL_MEGA,RANDOM,RANDOM,1.4676732,409731,17.208402471293358,
