Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.0,590291,19.336844467270407,2.08315
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1235466961092577,639936,31.880365744740725,2.3405163
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1280872236756836,656149,26.38062151719308,2.3499749
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1414813143556635,682393,18.163184678597204,2.3778768
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1476064613686006,673440,23.876049532108546,2.3906364
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.150670426997576,678526,22.64392938425625,2.3970191
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1533060509324822,682599,22.676796896564866,2.4025095
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1564635287905336,660377,32.87435869957269,2.409087
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1844883949787584,675718,33.21063677651154,2.467467
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.1889785661138184,710729,19.024775267557935,2.4768207
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.2081353719127286,705816,26.504685838190024,2.5167272
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.208646040851595,708425,26.29255661311474,2.517791
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.2116307035019083,690502,34.450710414837715,2.5240085
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.2190616614262055,752057,12.564423566531524,2.5394883
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.2233000024002114,731929,19.42372052131477,2.5483174
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.2641023450063607,719702,36.58276982949849,2.6333148
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3045522405971728,763798,26.769908576220896,2.717578
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3046229508196723,753164,32.23427909939769,2.7177253
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.305101360919761,758821,30.40920910550381,2.7187219
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3103302690636778,786911,19.95020824304079,2.7296145
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3168506348558675,812241,13.56770417767494,2.7431974
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3258098552672637,802073,18.017295005864426,2.7618608
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3306533374936995,781584,27.953519309849327,2.7719505
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.335160502124187,761593,37.286644886499964,2.7813396
YVELTAL,GUST_FAST,HURRICANE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3392216115018123,803485,21.358786303781613,2.7897995
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3408643160598135,785766,27.79636877701216,2.7932215
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3428305690900801,800407,22.114262632052643,2.7973175
LUGIA,EXTRASENSORY_FAST,AEROBLAST_PLUS_PLUS,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3469774140124333,836175,11.713390181542655,2.805956
HO_OH_SHADOW_FORM,HIDDEN_POWER_FIRE_FAST,BRAVE_BIRD,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3523890742385332,809258,21.49578943857831,2.8172293
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3590301706550179,838699,13.831635071930984,2.8310637
MOLTRES,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3605750906079737,810974,22.814179530848737,2.834282
PIDGEOT_MEGA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,GALLADE_MEGA,RANDOM,RANDOM,1.3676566737872935,799104,30.456132404029468,2.849034
