Attacker,Attacker Fast Move,Attacker Charged Move,Attacker Level,Attacker IV,Boss,Boss Fast Move,Boss Charged Move,Estimator,Time to Win,Deaths,Estimator Unscaled
MOLTRES_SHADOW_FORM,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.6593301,485324,9.562730516998823,
PIDGEOT_MEGA,GUST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8004721,516504,14.012139149593233,
HONCHKROW_SHADOW_FORM,PECK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8166443,513578,17.05782178733829,
HO_OH_SHADOW_FORM,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8352141,542562,8.986855493961288,
STARAPTOR_SHADOW_FORM,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8513947,525506,16.954690772493212,
PIDGEOT_MEGA,WING_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8637168,538443,12.126726244720933,
HONCHKROW_SHADOW_FORM,SNARL_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.8775679,531239,17.996199256273755,
MOLTRES_SHADOW_FORM,FIRE_SPIN_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.883392,549211,11.57831556521431,
HONCHKROW_SHADOW_FORM,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.885016,534331,17.48891822152943,
PIDGEOT_MEGA,AIR_SLASH_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.917481,552276,13.66614689569629,
ZAPDOS_SHADOW_FORM,THUNDER_SHOCK_FAST,DRILL_PECK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.9274058,563875,10.62622985868998,
MOLTRES,WING_ATTACK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.9635835,580705,9.629943573922992,
HO_OH_SHADOW_FORM,HIDDEN_POWER_GHOST_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.9782214,585040,9.700550942612061,
ZAPDOS_SHADOW_FORM,CHARGE_BEAM_FAST,DRILL_PECK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.9827534,574561,12.417498361887128,
HONCHKROW_SHADOW_FORM,SNARL_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,1.9883575,563347,18.935230486683025,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST_PLUS,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0158226,600715,5.909399553339962,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,BLAST_BURN,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0559874,606368,10.607516606224296,
PIDGEOT_MEGA,GUST_FAST,HURRICANE,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0733843,594025,16.057948138207614,
STARAPTOR_SHADOW_FORM,QUICK_ATTACK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0868134,592876,19.104769408257926,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,BLAST_BURN,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0890908,618474,10.060432312154877,
CHARIZARD_MEGA_Y,AIR_SLASH_FAST,OVERHEAT,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.0962577,617776,11.133292192910874,
HONCHKROW,PECK_FAST,SKY_ATTACK,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1061096,603005,17.048880662219755,
HO_OH_SHADOW_FORM,EXTRASENSORY_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1187143,626560,9.971035514835105,
RAYQUAZA,AIR_SLASH_FAST,HURRICANE,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.121257,618289,13.663115043309604,
CHARIZARD_MEGA_Y,WING_ATTACK_FAST,OVERHEAT,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1616411,638382,10.742267898691152,
HO_OH,HIDDEN_POWER_FLYING_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.164457,643221,8.694294109010471,
HONCHKROW,PECK_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1647851,619651,17.530380660964738,
PIDGEOT_MEGA,GUST_FAST,AERIAL_ACE,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.166552,620330,16.639521779540004,
HO_OH_SHADOW_FORM,INCINERATE_FAST,BRAVE_BIRD,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.17523,642136,11.173588661117305,
LUGIA_SHADOW_FORM,EXTRASENSORY_FAST,AEROBLAST,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1764278,648575,6.389785794190573,
RAYQUAZA,AIR_SLASH_FAST,AERIAL_ACE,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1794338,634181,14.122433389540639,
PIDGEOT_MEGA,WING_ATTACK_FAST,HURRICANE,40,15/15/15,MEDICHAM_MEGA,RANDOM,RANDOM,2.1815298,630181,14.468020909992081,
