Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
(Boss weights),,,,,,0.3282828282828282,0.3282828282828282,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.03647586980920313,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.21885521885521877,0.21885521885521877,0.21885521885521877,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.21885521885521877,0.21885521885521877,0.21885521885521877,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.21885521885521877,0.21885521885521877,0.21885521885521877,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.21885521885521877,0.21885521885521877,0.21885521885521877,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.21885521885521877,0.21885521885521877,0.21885521885521877,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.1641414141414141,0.13131313131313127,0.13131313131313127,0.13131313131313127,0.13131313131313127,0.13131313131313127,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.3282828282828282,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.6565656565656564,0.3282828282828282,0.3282828282828282,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
(Raid tier),,,,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Elite Tier,Elite Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier
(Boss moveset),,,,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,,,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging,No Dodging
(Dodge Strategy),,,,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Dusknoir,Hex,Ghost,Poltergeist,Ghost,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.366075,0.97107404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0355492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,Fire Fang or Snarl,Dark or Fire,Dark Pulse,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8238164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3736334,,,,2.975985,,,,,,,,,,,,,,1.4788291,,,,,,,1.5092473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Rampardos,Smack Down or Zen Headbutt,Psychic or Rock,Outrage,Dragon,40,,,,3.4730637,,,,,,3.4721305,3.474778,,,,3.4858794,,,,,,2.9742465,3.429494,2.035487,,,,3.917957,,,,,3.084346,,,,,,,,,,,,,4.2788386,2.4967153,,,3.1805036,,,,,3.5962503,2.162775,,,,,,,,,2.4845889,2.3649147,,,,,7.6652136,4.3682714,,,,,,,,,,,,,,,,,,,3.0048926,2.6473026,1.5800529,,,,,,,,,,,,,,7.8984084,4.4022756,,,,,,,4.56329,2.556962,,,,,,,,,,,,,,3.1010141,4.867007,,,3.5197527,,,,,,,4.5322237,2.721015,,,,,,,,,,,,,,,,,,,,,,,,,,2.5406623,2.6086588,2.6528556,2.7035606,,2.7577085,,1.9288378,,,,,,,,,,,,,,,,,,,,,2.0605562,,,,,2.027445,,,,,,1.3026546,,,1.4152162,1.179186,,,1.5888268,,1.7066891,,,,,1.519697,1.324133,,,,,,,,,,,,,,
