Tier,Pokemon,Weight,Battle settings
Tier 5,Arceus (Dragon),5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Giratina (Origin),2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Giratina (Altered),2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Kyurem (Black),1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Kyurem (White),1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Kyurem,1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Shadow Tier 5,Shadow Latias,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Latias,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Shadow Tier 5,Shadow Latios,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Latios,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Miraidon,5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Necrozma (Ultra),5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Palkia,1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Palkia (Origin),1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Shadow Tier 5,Shadow Palkia,1.6666666666666665,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Shadow Tier 5,Shadow Zekrom,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Zekrom,2.5,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Regidrago,5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 5,Arceus (Dragon),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Giratina (Origin),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Giratina (Altered),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Kyurem (Black),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Kyurem (White),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Kyurem,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Shadow Tier 5,Shadow Latias,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Latias,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Shadow Tier 5,Shadow Latios,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Latios,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Miraidon,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Necrozma (Ultra),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Palkia,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Palkia (Origin),0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Shadow Tier 5,Shadow Palkia,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Shadow Tier 5,Shadow Zekrom,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Zekrom,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 5,Regidrago,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Mega Tier,Mega Ampharos,11.666666666666666,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Mega Legendary Tier,Mega Latias,11.666666666666666,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Mega Legendary Tier,Mega Latios,11.666666666666666,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Mega Tier,Mega Ampharos,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Mega Legendary Tier,Mega Latias,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Mega Legendary Tier,Mega Latios,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 3,Drampa,5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 3,Druddigon,5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 3,Shelgon,5.0,"Extreme,Not Friend,No Dodging,Realistic Dodging"
Tier 3,Drampa,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 3,Druddigon,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
Tier 3,Shelgon,0.0,"Extreme,Not Friend,Dodge Specials PRO,Realistic Dodging"
