Rank,Raidboss,raid_move1,raid_move2,defender_name,defender_move1,defender_move2,estimator,effective_deaths,effective_combat_time
7,Pidgeot Mega,Steel wing,Brave bird,Rhyperior,Smack Down,Rock Wrecker,2.1062858,24.534541536929904,593343
8,Pidgeot Mega,Steel wing,Brave bird,Rampardos,Smack Down,Rock Slide,2.1080308,37.89169788953459,554210
10,Pidgeot Mega,Steel wing,Brave bird,Tyranitar Shadow Form,Smack Down,Stone Edge,2.1484354,29.939410019422585,580678
7,Pidgeot Mega,Air slash,Brave bird,Rampardos,Smack Down,Rock Slide,2.0044985,29.191377071603338,541612
10,Pidgeot Mega,Air slash,Brave bird,Rhyperior,Smack Down,Rock Wrecker,2.1256058,20.479529610380695,604567
11,Pidgeot Mega,Air slash,Brave bird,Tyranitar Shadow Form,Smack Down,Stone Edge,2.1426535,26.29114338273338,588410
6,Pidgeot Mega,Air slash,Hurricane,Tyranitar Shadow Form,Smack Down,Stone Edge,1.9632006,19.299505908591986,558561
8,Pidgeot Mega,Air slash,Hurricane,Rampardos,Smack Down,Rock Slide,2.0288663,26.94650477862802,549823
12,Pidgeot Mega,Air slash,Hurricane,Rhyperior,Smack Down,Rock Wrecker,2.162512,18.79615285431519,614992
6,Pidgeot Mega,Steel wing,Hurricane,Rampardos,Smack Down,Rock Slide,2.0083897,31.481274117394545,542820
10,Pidgeot Mega,Steel wing,Hurricane,Rhyperior,Smack Down,Rock Wrecker,2.1388314,22.308991614898368,608379
14,Pidgeot Mega,Steel wing,Hurricane,Tyranitar Shadow Form,Smack Down,Stone Edge,2.1757822,27.055112780458607,593451
6,Pidgeot Mega,Air slash,Aerial ace,Rampardos,Smack Down,Rock Slide,1.903383,21.8368687879759,536298
10,Pidgeot Mega,Air slash,Aerial ace,Tyranitar Shadow Form,Smack Down,Stone Edge,1.988464,15.348865269058237,565696
17,Pidgeot Mega,Air slash,Aerial ace,Rhyperior,Smack Down,Rock Wrecker,2.1413085,13.728225769896197,611604
6,Pidgeot Mega,Steel wing,Aerial ace,Tyranitar Shadow Form,Smack Down,Stone Edge,1.9350662,18.449824606804945,550614
10,Pidgeot Mega,Steel wing,Aerial ace,Rampardos,Smack Down,Rock Slide,2.0169616,27.12613014382703,544570
14,Pidgeot Mega,Steel wing,Aerial ace,Rhyperior,Smack Down,Rock Wrecker,2.1158464,16.200058056940346,601785
9,Pidgeot Mega,Steel wing,Feather dance,Rampardos,Smack Down,Rock Slide,1.9314572,19.414096534633615,549603
12,Pidgeot Mega,Steel wing,Feather dance,Tyranitar Shadow Form,Smack Down,Stone Edge,1.9882305,13.673316601949644,565620
18,Pidgeot Mega,Steel wing,Feather dance,Rhyperior,Smack Down,Rock Wrecker,2.0684354,12.02460324370564,615736
8,Pidgeot Mega,Air slash,Feather dance,Tyranitar Shadow Form,Smack Down,Stone Edge,1.8837273,10.702333703536556,560992
9,Pidgeot Mega,Air slash,Feather dance,Rampardos,Smack Down,Rock Slide,1.9210784,15.623579967934456,546611
16,Pidgeot Mega,Air slash,Feather dance,Rhyperior,Smack Down,Rock Wrecker,2.0494711,9.509145186027382,610742
7,Pidgeot Mega,Random,Random,Rampardos,Smack Down,Rock Slide,1.9805558,25.59420163813005,544548
9,Pidgeot Mega,Random,Random,Tyranitar Shadow Form,Smack Down,Stone Edge,2.0147178,19.289221359180676,567831
12,Pidgeot Mega,Random,Random,Rhyperior,Smack Down,Rock Wrecker,2.1202393,16.595632684938742,608796
