Rank,Raidboss,raid_move1,raid_move2,defender_name,defender_move1,defender_move2,estimator,effective_deaths,effective_combat_time
13,Landorus Therian Form,Extrasensory,Earthquake,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.9047579,40.43095825583403,487211
24,Landorus Therian Form,Mud shot,Earthquake,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0890467,45.78769240066173,531113
3,Landorus Therian Form,Mud shot,Super power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.5286865,27.83780514914295,400770
5,Landorus Therian Form,Extrasensory,Super power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.6001229,30.618422891176518,413719
30,Landorus Therian Form,Mud shot,Stone edge,Darmanitan Galarian Standard Form,Ice Fang,Ice Punch,2.3661234,59.81250820861657,582219
29,Landorus Therian Form,Extrasensory,Stone edge,Darmanitan Galarian Standard Form,Ice Fang,Ice Punch,2.1797478,53.58539843801142,540832
5,Landorus Therian Form,Mud shot,Bulldoze,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.5030072,24.705388530317915,402261
3,Landorus Therian Form,Extrasensory,Bulldoze,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.4498105,23.5005624215599,388690
12,Landorus Therian Form,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.8715247,39.35654735692353,478393
29,Thundurus Therian Form,Bite,Focus blast,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.9114861,61.466490244776104,746076
12,Thundurus Therian Form,Volt switch,Focus blast,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.5164838,51.39352519517687,647755
10,Thundurus Therian Form,Bite,Thunderbolt,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.2101471,41.24924454956262,578231
6,Thundurus Therian Form,Volt switch,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.030283,35.60526358233172,540083
10,Thundurus Therian Form,Volt switch,Thunderbolt,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1562579,39.193926011937975,567320
6,Thundurus Therian Form,Bite,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.023136,30.209270256773298,546636
8,Thundurus Therian Form,Bite,Sludge wave,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0209782,26.85482368911156,546249
9,Thundurus Therian Form,Volt switch,Sludge wave,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0356536,33.82216834764644,550322
8,Thundurus Therian Form,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.2198472,39.64742642132447,586577
