Rank,Raidboss,raid_move1,raid_move2,defender_name,defender_move1,defender_move2,estimator,effective_deaths,effective_combat_time
23,Pidgeot Mega,Air slash,Hurricane,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3160188,41.70618088538531,606378
26,Pidgeot Mega,Steel wing,Hurricane,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3733823,44.89482438759235,613768
21,Pidgeot Mega,Air slash,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.177368,32.02696713527268,588364
18,Pidgeot Mega,Steel wing,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1462615,33.275698137402316,580263
15,Pidgeot Mega,Steel wing,Feather dance,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0477512,24.549042403014315,568607
15,Pidgeot Mega,Air slash,Feather dance,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0356717,23.534349506961906,576652
26,Pidgeot Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3548026,40.92241197889607,622783
30,Ampharos Mega,Volt switch,Power gem,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.9892929,61.621716482973916,768828
28,Ampharos Mega,Charge beam,Power gem,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.7665844,50.575154805633936,725650
24,Ampharos Mega,Charge beam,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.541399,38.323486107222124,687043
23,Ampharos Mega,Volt switch,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.5247226,44.19106802419086,671394
23,Ampharos Mega,Volt switch,Thunder punch,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.4593434,34.624690551259434,664824
22,Ampharos Mega,Charge beam,Thunder punch,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.4609284,34.19151972156796,666718
29,Ampharos Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.80559,48.94334757092867,740358
22,Altaria Mega,Dragon breath,Dazzling gleam,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.889783,48.00522261241993,772997
16,Altaria Mega,Peck,Dazzling gleam,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.817528,44.87466966756003,755895
20,Altaria Mega,Dragon breath,Dragon pulse,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.8618765,47.02002522331718,766708
7,Altaria Mega,Peck,Sky attack,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.6137793,36.5160401233318,707184
14,Altaria Mega,Peck,Dragon pulse,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.7957962,43.98730528471271,751016
9,Altaria Mega,Dragon breath,Sky attack,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.624244,37.38127208782649,709968
11,Altaria Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.6946938,38.530323588242275,734891
29,Venusaur Mega,Vine whip,Petal blizzard,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.929645,37.69534299324198,794949
